Iteration;RSD;Valve_Pos;;Signals;Iteration;0;;;7;;;8;;;9;
0;0.05279;1000;;;;Side;Through;;Side;Through;;Side;Through;;Side;Through
1;0.04983;1040;;;;3972;3622;;3760;3617;;3723;3600;;3780;3646
2;0.05244;1080;;;;4132;3694;;3816;3694;;3807;3680;;3819;3683
3;0.051;1120;;;;4273;3694;;3816;3694;;3807;3680;;3819;3683
4;0.05112;1160;;;;4127;3694;;3815;3694;;3808;3681;;3819;3683
5;0.05024;1200;;;;4249;3695;;3815;3692;;3807;3680;;3819;3683
6;0.04999;1240;;;;4078;3693;;3816;3693;;3808;3681;;3819;3682
7;0.00919;1280;;;;3931;3693;;3814;3693;;3807;3679;;3818;3682
8;0.00251;1320;;;;4243;3695;;3813;3692;;3808;3681;;3818;3683
9;1.00E-05;1332;;;;3917;3694;;3814;3692;;3807;3680;;3819;3683
10;0.0001;1332;;;;4028;3695;;3815;3693;;3808;3681;;3819;3683
11;7.00E-05;1332;;;;4139;3694;;3817;3692;;3807;3680;;3818;3682
12;2.00E-05;1332;;;;3745;3694;;3815;3692;;3808;3681;;3818;3682
;;;;;;3749;3694;;3816;3692;;3807;3680;;3819;3683
;;;;;;4060;3694;;3816;3693;;3808;3680;;3818;3682
;;;;;;4303;3696;;3817;3692;;3807;3680;;3818;3682
;;;;;;4286;3695;;3816;3692;;3808;3680;;3819;3683
;;;;;;3930;3694;;3816;3692;;3808;3680;;3819;3682
;;;;;;3829;3694;;3815;3693;;3808;3681;;3819;3683
;;;;;;4147;3694;;3815;3692;;3808;3680;;3818;3682
;;;;;;3794;3693;;3816;3693;;3808;3680;;3818;3682
;;;;;;4080;3693;;3816;3691;;3808;3679;;3818;3682
;;;;;;4299;3693;;3817;3692;;3807;3680;;3818;3682
;;;;;;4260;3694;;3816;3692;;3807;3679;;3818;3682
;;;;;;4019;3694;;3816;3693;;3807;3680;;3818;3682
;;;;;;4218;3694;;3816;3692;;3807;3680;;3817;3682
;;;;;;3839;3694;;3817;3693;;3806;3680;;3817;3682
;;;;;;3799;3693;;3816;3693;;3806;3680;;3817;3682
;;;;;;4212;3694;;3816;3692;;3806;3679;;3817;3682
;;;;;;4266;3695;;3816;3692;;3807;3680;;3817;3682
;;;;;;3992;3694;;3817;3692;;3807;3680;;3817;3682
;;;;;;4080;3693;;3817;3692;;3807;3681;;3816;3682
;;;;;;3738;3693;;3817;3692;;3807;3680;;3816;3682
;;;;;;3715;3693;;3817;3693;;3807;3680;;3816;3682
;;;;;;3725;3693;;3816;3692;;3807;3680;;3816;3682
;;;;;;3740;3693;;3816;3692;;3808;3680;;3815;3682
;;;;;;3970;3694;;3816;3693;;3807;3680;;3816;3682
;;;;;;4237;3694;;3816;3693;;3808;3680;;3816;3682
;;;;;;3848;3693;;3816;3693;;3808;3681;;3816;3682
;;;;;;3688;3693;;3815;3692;;3808;3680;;3815;3682
;;;;;;3696;3693;;3815;3693;;3806;3677;;3816;3683
;;;;;;3703;3693;;3816;3692;;3807;3680;;3816;3682
;;;;;;3713;3693;;3816;3692;;3807;3679;;3816;3683
;;;;;;3725;3693;;3817;3691;;3808;3680;;3817;3683
;;;;;;3739;3692;;3816;3685;;3808;3680;;3816;3682
;;;;;;3742;3692;;3816;3689;;3807;3680;;3816;3682
;;;;;;3800;3693;;3816;3692;;3807;3679;;3816;3682
;;;;;;3824;3693;;3817;3692;;3808;3680;;3816;3682
;;;;;;3918;3693;;3816;3692;;3807;3679;;3816;3682
;;;;;;4245;3694;;3816;3693;;3807;3679;;3817;3682
;;;;;;4050;3694;;3816;3693;;3808;3680;;3818;3682
;;;;;;4124;3694;;3817;3692;;3808;3680;;3818;3682
;;;;;;3921;3693;;3817;3693;;3807;3679;;3818;3683
;;;;;;4080;3694;;3817;3693;;3807;3679;;3818;3682
;;;;;;3830;3694;;3816;3693;;3808;3681;;3818;3682
;;;;;;3732;3693;;3816;3692;;3807;3679;;3818;3683
;;;;;;3724;3693;;3817;3694;;3809;3681;;3818;3682
;;;;;;3766;3693;;3816;3693;;3808;3680;;3818;3682
;;;;;;4125;3693;;3816;3692;;3808;3680;;3818;3682
;;;;;;4113;3693;;3816;3692;;3808;3680;;3818;3682
;;;;;;3955;3693;;3816;3692;;3808;3680;;3818;3681
;;;;;;3723;3692;;3816;3693;;3806;3680;;3817;3682
;;;;;;3699;3693;;3815;3693;;3807;3679;;3817;3682
;;;;;;3711;3693;;3815;3692;;3808;3680;;3817;3682
;;;;;;3720;3692;;3816;3693;;3807;3679;;3817;3682
;;;;;;3732;3692;;3816;3694;;3808;3680;;3817;3682
;;;;;;3740;3693;;3817;3693;;3807;3679;;3817;3681
;;;;;;3748;3693;;3816;3693;;3807;3680;;3816;3681
;;;;;;3773;3693;;3816;3693;;3807;3679;;3816;3681
;;;;;;4096;3693;;3816;3693;;3808;3680;;3816;3681
;;;;;;4030;3693;;3817;3693;;3808;3680;;3816;3681
;;;;;;3702;3692;;3817;3693;;3808;3680;;3817;3682
;;;;;;3690;3694;;3817;3693;;3807;3680;;3817;3682
;;;;;;3700;3693;;3816;3693;;3808;3680;;3817;3682
;;;;;;3725;3693;;3816;3693;;3808;3680;;3817;3682
;;;;;;3727;3693;;3817;3693;;3808;3680;;3817;3682
;;;;;;3738;3694;;3816;3693;;3809;3680;;3817;3682
;;;;;;3741;3693;;3816;3693;;3808;3679;;3817;3683
