T(I);;;T(II);;;S;
RSD;Valve_Position;;RSD;Valve_Position;;RSD;Valve_Position
0.00015;0;;-3.00E-05;1000;;6.00E-05;1000
0.00463;1000;;2.00E-05;1000;;-2.00E-05;1000
0.00409;1023;;0.03105;1000;;0.01246;1000
0.00408;1043;;0;1040;;0.00945;1040
-1.00E-05;1063;;0.04187;1040;;0.00253;1080
0.029615;1063;;0.03512;1080;;0.0008;1092
2.00E-05;1103;;2.00E-05;1120;;5.00E-05;1092
0.03109;1103;;-2.00E-05;1120;;0.00454;1092
5.00E-05;1143;;0.03873;1120;;0.00025;1114
0.04095;1143;;0.00013;1160;;5.00E-05;1114
3.00E-05;1183;;0.03707;1160;;0.00371;1114
-2.00E-05;1183;;0.01612;1200;;0.02934;1132
2.00E-05;1183;;0.03862;1240;;4.00E-05;1172
0.02277;1183;;0.02482;1280;;0.03895;1172
4.00E-05;1223;;0.04091;1320;;0;1212
0.04077;1223;;0.02464;1360;;-2.00E-05;1212
2.00E-05;1263;;-0.00017;1400;;0.0401;1212
0;1263;;5.00E-05;1400;;1.00E-05;1252
-0.03207;1263;;3.00E-05;1400;;0.03112;1252
2.00E-05;1243;;3.00E-05;1400;;0.04008;1292
2.00E-05;1243;;7.00E-05;1400;;5.00E-05;1332
4.00E-05;1243;;4.00E-05;1400;;4.00E-05;1332
4.00E-05;1243;;2.00E-05;1400;;0;1332
2.00E-05;1243;;3.00E-05;1400;;0.0024;1332
2.00E-05;1243;;2.00E-05;1400;;0.00019;1344
5.00E-05;1243;;5.00E-05;1400;;1.00E-05;1344
3.00E-05;1243;;0.00018;1400;;2.00E-05;1344
3.00E-05;1243;;-0.00145;1400;;0;1344
0;1243;;2.00E-05;1400;;3.00E-05;1344
-1.00E-05;1243;;1.00E-05;1400;;4.00E-05;1344
1.00E-05;1243;;1.00E-05;1400;;-1.00E-05;1344
3.00E-05;1243;;0;1400;;2.00E-05;1344
3.00E-05;1243;;1.00E-05;1400;;0.00066;1344
0;1243;;-1.00E-05;1400;;0.00052;1344
0;1243;;3.00E-05;1400;;-2.00E-05;1344
0;1243;;4.00E-05;1400;;3.00E-05;1344
4.00E-05;1243;;1.00E-05;1400;;0.00122;1344
3.00E-05;1243;;-2.00E-05;1400;;2.00E-05;1344
5.00E-05;1243;;1.00E-05;1400;;2.00E-05;1344
0;1243;;0.00063;1400;;1.00E-05;1344
1.00E-05;1243;;6.00E-05;1400;;1.00E-05;1344
-1.00E-05;1243;;0.00037;1400;;6.00E-05;1344
2.00E-05;1243;;0.0001;1400;;-1.00E-05;1344
5.00E-05;1243;;1.00E-05;1400;;8.00E-05;1344
3.00E-05;1243;;3.00E-05;1400;;6.00E-05;1344
4.00E-05;1243;;0.00023;1400;;0.0002;1344
2.00E-05;1243;;-1.00E-05;1400;;0.00019;1344
-1.00E-05;1243;;0.00019;1400;;0.00022;1344
-2.00E-05;1243;;0.00022;1400;;4.00E-05;1344
5.00E-05;1243;;0;1400;;2.00E-05;1344
-1.00E-05;1243;;0.00024;1400;;6.00E-05;1344
2.00E-05;1243;;-1.00E-05;1400;;0.00015;1344
4.00E-05;1243;;-4.00E-05;1400;;2.00E-05;1344
4.00E-05;1243;;0;1400;;2.00E-05;1344
3.00E-05;1243;;5.00E-05;1400;;0;1344
2.00E-05;1243;;3.00E-05;1400;;3.00E-05;1344
2.00E-05;1243;;0;1400;;2.00E-05;1344
0;1243;;1.00E-05;1400;;-2.00E-05;1344
2.00E-05;1243;;-8.00E-05;1400;;0;1344
3.00E-05;1243;;-3.00E-05;1400;;3.00E-05;1344
3.00E-05;1243;;0;1400;;4.00E-05;1344
0;1243;;0;1400;;1.00E-05;1344
2.00E-05;1243;;-7.00E-05;1400;;-1.00E-05;1344
5.00E-05;1243;;-1.00E-05;1400;;1.00E-05;1344
4.00E-05;1243;;-2.00E-05;1400;;-2.00E-05;1344
3.00E-05;1243;;0;1400;;-2.00E-05;1344
5.00E-05;1243;;0;1400;;9.00E-05;1344
1.00E-05;1243;;2.00E-05;1400;;0.00014;1344
2.00E-05;1243;;0;1400;;0;1344
2.00E-05;1243;;0;1400;;1.00E-05;1344
4.00E-05;1243;;-1.00E-05;1400;;3.00E-05;1344
2.00E-05;1243;;-2.00E-05;1400;;0.00014;1344
5.00E-05;1243;;2.00E-05;1400;;4.00E-05;1344
3.00E-05;1243;;0;1400;;4.00E-05;1344
4.00E-05;1243;;-3.00E-05;1400;;0.00016;1344
2.00E-05;1243;;0;1400;;0;1344
3.00E-05;1243;;-0.00036;1400;;3.00E-05;1344
3.00E-05;1243;;1.00E-05;1400;;0;1344
4.00E-05;1243;;-1.00E-05;1400;;3.00E-05;1344
2.00E-05;1243;;0.00014;1400;;1.00E-05;1344
3.00E-05;1243;;-0.00019;1400;;0.04159;1344
