;Side;;;Through;
Times (s);DCM;Water;;Water;DCM
0;0;0;;0;0
100;1.005;0.645;;0.724;0.974
200;1.921;1.548;;1.469;1.934
300;2.849;2.197;;2.233;2.898
400;3.856;2.997;;2.952;3.857
500;4.819;3.738;;3.729;4.814
600;5.877;4.373;;4.479;5.876
700;6.856;5.257;;5.223;6.871
800;7.88;5.937;;5.943;7.825
900;8.838;6.721;;6.689;8.782
1000;9.895;7.505;;7.425;9.746
1100;10.929;8.105;;8.189;10.765
1200;11.903;9.024;;8.913;11.836
1300;12.899;9.635;;9.681;12.848
1400;13.866;10.399;;10.418;13.843
1500;14.913;11.168;;11.178;14.9
1600;15.898;11.767;;11.908;15.914
1700;16.848;12.483;;12.63;16.856
1800;17.889;13.271;;13.407;17.926
